date,BTCUSD,ETHUSD,OMGUSD,EOSUSD,ETCUSD,XRPUSD,XTZUSD,LTCUSD,DASHUSD
2018-12-22 01:00:00,4135.0,120.49,1.602,2.7,4.834,0.373,0.4816,32.82,89.89
2018-12-23 01:00:00,4071.7,133.76,1.691,2.872,5.016,0.38,0.5212,34.12,92.18
2018-12-24 01:00:00,4140.7,142.53,1.63,2.835,5.222,0.4137,0.5402,33.88,92.81
2018-12-25 01:00:00,3909.7,132.99,1.508,2.583,4.859,0.3923,0.5041,31.92,85.66
2018-12-27 01:00:00,3712.0,118.57,1.342,2.363,4.909,0.3476,0.4838,28.69,77.37
2018-12-28 01:00:00,4036.7,142.15,1.514,2.738,5.438,0.3898,0.5139,33.47,86.55
2018-12-29 01:00:00,3894.0,140.33,1.495,2.695,5.303,0.3756,0.53,31.9,81.06
2018-12-30 01:00:00,3977.3,144.18,1.454,2.755,5.443,0.3824,0.5221,32.87,83.64
2018-12-31 01:00:00,3830.5,136.0,1.378,2.625,5.156,0.3613,0.4777,30.96,80.2
2019-01-01 01:00:00,3963.1,145.0,1.467,2.737,5.468,0.3771,0.4965,32.94,83.31
2019-01-02 01:00:00,4048.8,159.36,1.564,2.965,5.574,0.3868,0.5038,34.29,87.0
2019-01-03 01:00:00,3924.3,152.42,1.499,2.749,5.209,0.3673,0.4887,32.75,82.13
2019-01-05 01:00:00,3911.9,158.32,1.536,2.747,5.243,0.3611,0.4934,35.61,81.72
2019-01-06 01:00:00,4168.4,160.84,1.618,2.941,5.623,0.3768,0.522,40.08,87.25
2019-01-07 01:00:00,4113.9,154.79,1.525,2.831,4.98,0.3735,0.4855,38.65,84.58
2019-01-09 01:00:00,4083.3,152.65,1.554,2.954,5.045,0.376,0.5248,39.33,86.7
2019-01-10 01:00:00,3712.8,129.5,1.3,2.453,4.479,0.336,0.4556,34.02,74.2
2019-01-12 01:00:00,3702.0,127.41,1.313,2.454,4.601,0.3357,0.438,32.69,73.87
2019-01-13 01:00:00,3591.0,117.94,1.216,2.282,4.277,0.3218,0.3945,30.51,70.07
2019-01-14 01:00:00,3749.3,131.45,1.311,2.51,4.433,0.3397,0.4287,32.8,73.38
2019-01-16 01:00:00,3673.6,124.36,1.288,2.461,4.353,0.3332,0.43,31.98,71.9
2019-01-17 01:00:00,3722.5,125.25,1.322,2.551,4.553,0.3346,0.4242,32.33,72.86
2019-01-18 01:00:00,3675.7,121.84,1.291,2.483,4.423,0.3276,0.4377,31.45,71.33
2019-01-19 01:00:00,3762.3,126.01,1.324,2.505,4.456,0.3353,0.4519,32.89,74.06
2019-01-20 01:00:00,3586.1,119.1,1.265,2.358,4.265,0.3213,0.4356,30.98,69.13
2019-01-27 01:00:00,3597.1,113.43,1.178,2.379,4.253,0.3102,0.403,32.6,71.32
2019-01-28 01:00:00,3501.89,107.49,1.132,2.262,3.977,0.2977,0.38,31.51,68.11
2019-01-29 01:00:00,3477.9,106.3,1.12,2.299,3.948,0.2925,0.3653,31.42,68.16
2019-01-31 01:00:00,3503.8,108.49,1.107,2.356,4.007,0.3154,0.3748,32.04,68.48
2019-02-01 01:00:00,3534.77,108.94,1.105,2.381,3.991,0.3125,0.3946,33.34,67.81
2019-02-04 01:00:00,3490.47,108.46,1.116,2.417,3.907,0.3015,0.3767,34.39,67.41
2019-02-07 01:00:00,3438.4,105.81,1.045,2.369,3.892,0.295,0.3754,33.65,67.94
2019-02-09 01:00:00,3718.3,121.01,1.17,2.814,4.138,0.3172,0.3899,45.34,74.91
2019-02-10 01:00:00,3747.7,127.37,1.217,2.891,4.242,0.3156,0.3851,47.6,76.61
2019-02-12 01:00:00,3694.2,124.75,1.177,2.995,4.136,0.3109,0.401,44.72,83.59
2019-02-14 01:00:00,3656.7,122.55,1.141,2.792,4.184,0.3064,0.4259,42.02,78.74
2019-02-16 01:00:00,3676.45,124.68,1.233,2.83,4.147,0.3056,0.4321,44.1,79.84
2019-02-18 01:00:00,3978.1,148.87,1.338,3.545,4.472,0.3286,0.4664,48.83,87.87
2019-02-19 01:00:00,3989.9,146.61,1.306,3.598,4.642,0.3291,0.4406,48.11,88.63
2019-02-20 01:00:00,4055.0,151.41,1.357,3.986,4.778,0.3377,0.4799,52.56,88.78
2019-02-23 01:00:00,4212.2,161.54,1.359,4.339,4.933,0.3405,0.46,52.6,91.19
2019-03-01 01:00:00,3914.0,138.5,1.352,3.546,4.333,0.3233,0.4145,48.15,84.43
2019-03-02 01:00:00,3913.0,135.6,1.301,3.562,4.336,0.3214,0.4073,49.57,83.96
2019-03-03 01:00:00,3885.0,133.23,1.259,3.59,4.331,0.3176,0.4058,48.88,81.96
2019-03-04 01:00:00,3800.3,128.39,1.196,3.3,4.174,0.3091,0.4081,46.82,79.3
2019-03-08 01:00:00,3940.5,136.18,1.274,3.666,4.273,0.3144,0.4086,56.7,81.05
2019-03-10 01:00:00,4000.0,138.2,1.405,3.772,4.402,0.3192,0.4689,57.81,84.41
2019-03-13 01:00:00,3946.2,134.52,1.446,3.638,4.314,0.3201,0.458,56.41,92.13
2019-03-14 01:00:00,3948.3,134.72,1.53,3.636,4.371,0.3173,0.4518,57.01,90.62
2019-03-15 01:00:00,4003.2,139.15,1.541,3.76,4.484,0.3211,0.4628,59.64,91.17
2019-03-20 01:00:00,4127.16,142.17,1.583,3.79,4.748,0.3249,0.6789,61.55,94.28
2019-03-23 01:00:00,4063.2,139.28,1.808,3.717,4.939,0.316,0.725,61.8,93.1
