date,BTCUSD,ETHUSD
2016-03-10 01:00:00,413.6,11.2
2016-03-10 02:00:00,412.95,11.1
2016-03-10 03:00:00,412.07,10.66
2016-03-10 23:00:00,415.57,11.75
2016-03-11 18:00:00,421.88,11.85
2016-03-12 05:00:00,420.2,11.95
2016-03-12 09:00:00,419.07,12.15
2016-03-12 11:00:00,415.61,12.75
2016-03-12 12:00:00,411.47,13.15
2016-03-12 20:00:00,413.73,13.39
2016-03-13 08:00:00,411.27,13.95
2016-03-13 17:00:00,414.97,14.55
2016-03-13 19:00:00,415.09,14.29
2016-03-13 22:00:00,411.8,13.99
2016-03-14 03:00:00,412.58,15.0
2016-03-14 04:00:00,412.73,15.07
2016-03-14 07:00:00,412.47,14.51
2016-03-14 08:00:00,412.76,12.81
2016-03-14 09:00:00,412.42,12.97
2016-03-14 10:00:00,414.94,13.3
2016-03-14 16:00:00,414.2,13.2
2016-03-14 17:00:00,414.46,13.0
2016-03-14 19:00:00,414.91,13.82
2016-03-14 20:00:00,415.55,13.89
2016-03-14 21:00:00,414.86,13.68
2016-03-14 22:00:00,414.01,13.61
2016-03-14 23:00:00,413.87,13.74
2016-03-15 01:00:00,413.78,14.0
2016-03-15 02:00:00,414.43,14.38
2016-03-15 05:00:00,414.95,13.16
2016-03-15 06:00:00,415.22,12.5
2016-03-15 09:00:00,417.32,12.79
2016-03-15 11:00:00,417.43,12.38
2016-03-15 12:00:00,417.12,12.49
2016-03-15 16:00:00,415.66,12.85
2016-03-15 17:00:00,415.79,13.07
2016-03-15 19:00:00,416.77,13.01
2016-03-15 20:00:00,416.34,13.05
2016-03-15 21:00:00,415.67,12.61
2016-03-16 00:00:00,415.34,12.22
2016-03-16 06:00:00,415.41,13.06
2016-03-16 08:00:00,415.64,13.41
2016-03-16 09:00:00,414.69,13.51
2016-03-16 10:00:00,414.59,13.33
2016-03-16 12:00:00,414.88,13.12
2016-03-16 16:00:00,414.32,13.69
2016-03-16 21:00:00,414.98,13.4
2016-03-17 02:00:00,416.28,13.09
2016-03-17 04:00:00,416.75,13.04
2016-03-17 06:00:00,417.4,12.88
2016-03-17 07:00:00,417.22,12.59
2016-03-17 08:00:00,417.3,12.31
2016-03-17 09:00:00,416.86,12.4
2016-03-17 10:00:00,417.64,12.46
2016-03-17 11:00:00,419.38,12.44
2016-03-17 12:00:00,419.35,12.28
2016-03-17 13:00:00,419.02,12.3
2016-03-17 15:00:00,418.13,12.09
2016-03-17 18:00:00,419.37,11.27
2016-03-17 21:00:00,419.5,10.5
2016-03-17 22:00:00,418.71,10.69
2016-03-18 00:00:00,418.89,10.65
2016-03-18 01:00:00,419.11,10.77
2016-03-18 02:00:00,419.84,10.85
2016-03-18 05:00:00,418.83,11.23
2016-03-18 08:00:00,418.08,10.72
2016-03-18 10:00:00,416.98,10.84
2016-03-18 11:00:00,417.58,10.94
2016-03-18 12:00:00,417.17,11.01
2016-03-18 16:00:00,414.17,10.12
2016-03-18 17:00:00,414.28,9.436
2016-03-18 18:00:00,414.81,9.355
2016-03-18 19:00:00,414.0,9.169
2016-03-18 20:00:00,414.11,9.062
2016-03-18 21:00:00,413.05,9.432
2016-03-18 22:00:00,408.57,10.27
2016-03-18 23:00:00,409.2,10.2
2016-03-19 01:00:00,407.04,9.766
2016-03-19 02:00:00,404.67,10.11
2016-03-19 04:00:00,407.03,10.23
2016-03-19 05:00:00,407.47,10.39
2016-03-19 07:00:00,407.9,10.92
2016-03-19 08:00:00,407.15,10.6
2016-03-19 10:00:00,408.14,10.16
2016-03-19 12:00:00,406.25,10.31
2016-03-19 13:00:00,407.75,9.916
2016-03-19 15:00:00,407.66,10.8
2016-03-19 17:00:00,408.59,10.79
2016-03-19 18:00:00,408.54,10.71
2016-03-19 22:00:00,406.64,10.98
2016-03-19 23:00:00,405.63,10.81
2016-03-20 00:00:00,406.13,10.86
2016-03-20 03:00:00,405.57,10.53
2016-03-20 05:00:00,406.39,10.13
2016-03-20 14:00:00,409.76,10.48
2016-03-20 15:00:00,410.61,10.26
2016-03-20 16:00:00,410.43,10.29
2016-03-20 18:00:00,410.88,10.38
2016-03-20 21:00:00,411.9,9.95
2016-03-21 00:00:00,411.81,9.704
2016-03-21 01:00:00,411.84,9.588
2016-03-21 02:00:00,412.55,9.877
2016-03-21 03:00:00,410.34,9.99
2016-03-21 04:00:00,410.57,10.33
2016-03-21 08:00:00,410.02,10.24
2016-03-21 14:00:00,408.3,10.75
2016-03-21 16:00:00,407.86,10.82
2016-03-21 17:00:00,408.5,10.95
